type,bandwidth,time
warmup,16.0334,695655702865955
warmup,83.7641,695655859960140
warmup,91.351,695655890081102
warmup,98.8725,695655917698926
warmup,106.161,695655943219441
warmup,102.03,695655966999740
warmup,78.904,695655991733524
warmup,89.9262,695656023703344
warmup,101.173,695656051752694
warmup,107.141,695656076694161
warmup,26.0599,695656100272121
warmup,43.2482,695656196915833
warmup,90.8313,695656255178787
warmup,53.2914,695656282969317
warmup,109.212,695656330294967
warmup,121.15,695656353421401
warmup,161.534,695656374271579
warmup,160.356,695656389914196
warmup,146.916,695656405660847
warmup,139.331,695656422854654
warmup,161.59,695656440972218
warmup,161.783,695656456599028
warmup,165.19,695656472225453
warmup,160.785,695656487510945
warmup,159.781,695656503210108
warmup,163.061,695656519032632
warmup,139.832,695656534527311
warmup,145.329,695656552589642
warmup,141.45,695656569983548
warmup,157.072,695656587821748
warmup,162.572,695656603886356
warmup,161.402,695656619412907
run,65.535,695656635079397
run,30.467,695656673577181
run,51.5642,695656756277755
run,63.704,695656805176322
run,82.1509,695656844759945
run,102.736,695656875467188
run,63.2937,695656900042314
run,56.8119,695656939895668
run,56.1316,695656984286461
run,58.9533,695657029213870
run,66.4462,695657071973088
run,80.6633,695657109928496
run,86.734,695657141211427
run,106.088,695657170309207
run,97.1381,695657194102594
run,163.814,695657220071275
run,161.845,695657235495874
run,161.223,695657251096091
run,161.837,695657266759381
run,161.653,695657282360941
run,161.162,695657297977607
run,133.776,695657313639808
run,148.722,695657332502087
run,162.747,695657349474387
run,162.967,695657364987178
run,145.264,695657380477698
run,145.016,695657397854963
run,160.609,695657415262149
run,146.393,695657430978304
run,139.825,695657448241872
run,158.686,695657466296651
run,161.833,695657482221544
run,163.356,695657497820225
run,156.187,695657513273880
run,159.78,695657529455737
run,161.995,695657545255061
run,141.295,695657560837326
run,147.558,695657578690854
run,164.257,695657595792148
run,162.246,695657611157321
run,161.601,695657626713121
run,163.122,695657642328411
run,142.201,695657657795090
run,134.053,695657675530632
run,137.173,695657694344654
run,164.134,695657712735374
run,163.939,695657728114211
run,161.947,695657743508665
run,162.053,695657759089778
run,163.94,695657774663019
run,163.931,695657790053473
run,122.064,695657805442391
run,55.8977,695657826094454
run,33.9694,695657871204681
run,55.5083,695657945369520
run,66.2633,695657990773928
run,67.7596,695658028819193
run,94.7106,695658066045054
run,65.4026,695658092683921
run,38.8826,695658131249609
run,35.665,695658196081838
run,73.4617,695658266725028
run,93.6492,695658301061666
run,101.084,695658327999864
run,129.637,695658352963444
run,153.384,695658372448258
run,164.388,695658388931368
run,161.68,695658404300285
run,162.541,695658419932759
run,161.787,695658435464335
run,141.567,695658451066056
run,141.911,695658468884799
run,137.646,695658487200350
run,163.001,695658505549597
run,147.039,695658521042741
run,137.661,695658538211363
run,163.61,695658556542114
run,165.135,695658571972505
run,159.735,695658587259469
run,138.461,695658603060041
run,155.169,695658621284966
run,163.284,695658637550473
run,162.254,695658653011263
run,165.058,695658668578616
run,164.415,695658683874349
run,155.247,695658699224546
run,159.273,695658765847968
run,162.118,695658781721917
run,148.281,695658797298710
run,138.993,695658814321922
run,151.592,695658832483743
run,39.6461,695658849156135
run,44.5668,695658912739355
run,40.0722,695658969297549
run,57.5688,695659032167063
run,104.635,695659075974808
run,111.736,695659100088552
run,54.5982,695659122693090
run,45.6128,695659168885988
run,50.4693,695659224141061
run,67.7453,695659274091067
run,69.4803,695659311319073
run,79.0081,695659347629978
run,109.068,695659379543733
run,128.716,695659402691767
run,152.229,695659422310632
run,156.787,695659438912431
run,158.033,695659455009679
run,162.778,695659470980973
run,138.418,695659486487364
run,147.178,695659504719490
run,161.463,695659521924369
run,161.305,695659537563306
run,162.131,695659553216004
run,157.921,695659568788189
run,162.616,695659584771387
run,157.251,695659600295475
run,125.675,695659616344818
